pregunta,opcion1,opcion2,opcion3,opcion4,correcta,porcentaje_aciertos,cantidad_aciertos,cantidad_fallos,cantidad_preguntada
¿Cómo se llama el planeta de donde viene Gokú?,Namek,Vegeta,Tierra,Saiyajin,Saiyajin,0,0,0,0
¿Quién es el primer villano principal en Dragon Ball Z?,Vegeta,Freezer,Cell,Majin Boo,Freezer,0,0,0,0
¿Quién le enseña a Gokú el Kamehameha?,Maestro Roshi,Karin,Rey Kai,Kami-Sama,Maestro Roshi,0,0,0,0
¿Cómo se llama la técnica de teletransportación de Gokú?,Kaioken,Kamehameha,Teletransportación,Genkidama,Teletransportación,0,0,0,0
¿Qué personaje es conocido como el 'Príncipe de los Saiyajin'?,Gokú,Vegeta,Nappa,Raditz,Vegeta,0,0,0,0
¿En qué saga Gokú se convierte en Super Saiyajin por primera vez?,Saga de Namek,Saga de los Saiyajin,Saga de Cell,Saga de Majin Boo,Saga de Namek,0,0,0,0
¿Cómo se llama el hijo mayor de Gokú?,Gohan,Goten,Trunks,Krillin,Gohan,0,0,0,0
¿Quién destruye el planeta Namek?,Freezer,Gokú,Vegeta,Cell,Freezer,0,0,0,0
¿Qué se necesita para invocar a Shenlong?,Esferas del Dragón,Frijoles Mágicos,Nave Espacial,Cápsulas Hoi-Poi,Esferas del Dragón,0,0,0,0
¿Cuál es el ataque característico de Vegeta?,Kamehameha,Destello Final,Masenko,Disco Destructor,Destello Final,0,0,0,0
¿Cuántas esferas se necesitan para invocar a Shenlong?,Siete,Cinco,Seis,Ocho,Siete,0,0,0,0
¿Cómo se llama el hijo menor de Gokú?,Gohan,Goten,Trunks,Bra,Goten,0,0,0,0
¿Quién es el mejor amigo de Gokú en Dragon Ball?,Vegeta,Yamcha,Krillin,Píccoro,Krillin,0,0,0,0
¿Cómo se llama el dragón que concede deseos en Namek?,Shenlong,Polunga,Omega Shenlong,Súper Shenlong,Polunga,0,0,0,0
¿Quién es el guardián de la Tierra durante la Saga de Cell?,Kami-Sama,Dende,Señor Popo,Rey Kai,Dende,0,0,0,0
¿Quién es el primer enemigo que enfrenta Gokú en Dragon Ball?,Pilaf,Yajirobe,Oolong,Yamcha,Yamcha,0,0,0,0
¿Qué personaje usa una nube voladora?,Gokú,Vegeta,Gohan,Krilin,Gokú,0,0,0,0
¿Cómo se llama la esposa de Gokú?,Bulma,Milk,Videl,Androide 18,Milk,0,0,0,0
¿Qué personaje derrota a Cell en los Cell Games?,Gokú,Gohan,Vegeta,Trunks,Gohan,0,0,0,0
¿Quién crea las Cápsulas Hoi-Poi?,Bulma,Dr. Gero,Dr. Brief,Dr. Wheelo,Dr. Brief,0,0,0,0
